type,properties/segment_id,properties/road_name,geometry/type,geometry/coordinates/0/0,geometry/coordinates/0/1,geometry/coordinates/1/0,geometry/coordinates/1/1,geometry/coordinates/2/0,geometry/coordinates/2/1,geometry/coordinates/3/0,geometry/coordinates/3/1,geometry/coordinates/4/0,geometry/coordinates/4/1,geometry/coordinates/5/0,geometry/coordinates/5/1,geometry/coordinates/6/0,geometry/coordinates/6/1,geometry/coordinates/7/0,geometry/coordinates/7/1,geometry/coordinates/8/0,geometry/coordinates/8/1,geometry/coordinates/9/0,geometry/coordinates/9/1,geometry/coordinates/10/0,geometry/coordinates/10/1,geometry/coordinates/11/0,geometry/coordinates/11/1,geometry/coordinates/12/0,geometry/coordinates/12/1,geometry/coordinates/13/0,geometry/coordinates/13/1,geometry/coordinates/14/0,geometry/coordinates/14/1,geometry/coordinates/15/0,geometry/coordinates/15/1,geometry/coordinates/16/0,geometry/coordinates/16/1,geometry/coordinates/17/0,geometry/coordinates/17/1,geometry/coordinates/18/0,geometry/coordinates/18/1,geometry/coordinates/19/0,geometry/coordinates/19/1,geometry/coordinates/20/0,geometry/coordinates/20/1,geometry/coordinates/21/0
Feature,34_2,airport north road-primary,LineString,36.8920466,-1.328752462,36.89208302,-1.328726057,36.89211944,-1.328699653,36.89215586,-1.328673248,36.89219228,-1.328646844,36.8922287,-1.32862044,36.89226512,-1.328594035,36.89230154,-1.328567631,36.89233796,-1.328541227,36.89237438,-1.328514822,36.8924108,-1.328488418,36.89244722,-1.328462013,36.892485,-1.3284376,36.89252289,-1.328413351,36.89256078,-1.328389102,36.89259867,-1.328364853,36.89263656,-1.328340604,36.89267445,-1.328316355,36.89271233,-1.328292106,36.89275022,-1.328267857,36.89278811,-1.328243608,36.892826
Feature,34_3,airport north road-primary,LineString,36.89286389,-1.32819511,36.89290178,-1.328170861,36.89293967,-1.328146612,36.89297756,-1.328122363,36.89301545,-1.328098114,36.89305334,-1.328073865,36.89309122,-1.328049616,36.89312911,-1.328025367,36.893167,-1.328001118,36.89320493,-1.327976934,36.89324314,-1.327953184,36.89328134,-1.327929434,36.89331954,-1.327905684,36.89335775,-1.327881934,36.89339595,-1.327858184,36.89343416,-1.327834434,36.89347236,-1.327810684,36.89351056,-1.327786934,36.89354877,-1.327763184,36.89358697,-1.327739434,36.89362518,-1.327715684,36.89366338
Feature,34_4,airport north road-primary,LineString,36.89370158,-1.327668184,36.89373979,-1.327644434,36.89377799,-1.327620684,36.89381619,-1.327596934,36.8938544,-1.327573184,36.8938926,-1.327549434,36.89393081,-1.327525684,36.89396901,-1.327501934,36.89400721,-1.327478184,36.89404542,-1.327454434,36.89408362,-1.327430684,36.89412183,-1.327406934,36.89416003,-1.327383184,36.89419823,-1.327359435,36.89423644,-1.327335685,36.89427464,-1.327311935,36.89431284,-1.327288185,36.89435105,-1.327264435,36.89438925,-1.327240685,36.89442746,-1.327216935,36.89446566,-1.327193185,36.89450386
Feature,20_1,airport north road-primary,LineString,36.89622304,-1.326100687,36.89626124,-1.326076937,36.89629944,-1.326053187,36.89633765,-1.326029437,36.89637585,-1.326005687,36.89641406,-1.325981937,36.89645226,-1.325958187,36.89649046,-1.325934437,36.89652867,-1.325910687,36.89656687,-1.325886937,36.89660508,-1.325863187,36.89664328,-1.325839437,36.89668148,-1.325815687,36.89671969,-1.325791937,36.89675789,-1.325768187,36.89679609,-1.325744437,36.8968343,-1.325720687,36.8968725,-1.325696937,36.89691071,-1.325673187,36.89694891,-1.325649437,36.89698711,-1.325625687,36.89702532
Feature,20_2,airport north road-primary,LineString,36.89706352,-1.325578187,36.89710173,-1.325554437,36.89713993,-1.325530687,36.89717813,-1.325506937,36.89721634,-1.325483188,36.89725454,-1.325459438,36.89729274,-1.325435688,36.89733095,-1.325411938,36.89736915,-1.325388188,36.89740736,-1.325364438,36.89744556,-1.325340688,36.89748376,-1.325316938,36.89752197,-1.325293188,36.89756017,-1.325269438,36.89759838,-1.325245688,36.89763658,-1.325221938,36.89767478,-1.325198188,36.89771299,-1.325174438,36.89775119,-1.325150688,36.8977894,-1.325126938,36.8978276,-1.325103188,36.8978658
Feature,20_3,airport north road-primary,LineString,36.89790401,-1.325055688,36.89794221,-1.325031938,36.89798041,-1.325008188,36.89801862,-1.324984438,36.89805682,-1.324960688,36.89809503,-1.324936938,36.89813323,-1.324913188,36.89817143,-1.324889438,36.89820964,-1.324865688,36.89824784,-1.324841939,36.89828605,-1.324818189,36.89832425,-1.324794439,36.89836245,-1.324770689,36.89840066,-1.324746939,36.89843886,-1.324723189,36.89847706,-1.324699439,36.89851527,-1.324675689,36.89855347,-1.324651939,36.89859168,-1.324628189,36.89862988,-1.324604439,36.89866808,-1.324580689,36.89870629
Feature,72_1,airport north road-primary,LineString,36.89874449,-1.324533189,36.8987827,-1.324509439,36.8988209,-1.324485689,36.8988591,-1.324461939,36.89889731,-1.324438189,36.89893551,-1.324414439,36.89897371,-1.324390689,36.89901192,-1.324366939,36.89905012,-1.324343189,36.89908833,-1.324319439,36.89912653,-1.324295689,36.89916473,-1.324271939,36.89920294,-1.324248189,36.89924114,-1.32422444,36.89927935,-1.32420069,36.89931755,-1.32417694,36.89935575,-1.32415319,36.89939396,-1.32412944,36.89943216,-1.32410569,36.89947036,-1.32408194,36.89950857,-1.32405819,36.89954677
Feature,72_2,airport north road-primary,LineString,36.89958504,-1.324010798,36.89962342,-1.323987322,36.89966179,-1.323963847,36.89970016,-1.323940371,36.89973854,-1.323916896,36.89977691,-1.323893421,36.89981528,-1.323869945,36.89985365,-1.32384647,36.89989203,-1.323822995,36.8999304,-1.323799519,36.89996877,-1.323776044,36.90000715,-1.323752568,36.90004552,-1.323729093,36.90008389,-1.323705618,36.90012227,-1.323682142,36.90016064,-1.323658667,36.90019901,-1.323635192,36.90023739,-1.323611716,36.90027576,-1.323588241,36.90031413,-1.323564766,36.90035251,-1.32354129,36.90039088
Feature,40_1,airport north road-primary,LineString,36.90548739,-1.320384206,36.90552568,-1.320360588,36.90556396,-1.320336971,36.90560225,-1.320313353,36.90564053,-1.320289735,36.90567882,-1.320266117,36.90571711,-1.320242499,36.90575539,-1.320218882,36.90579368,-1.320195264,36.90583196,-1.320171646,36.90587025,-1.320148028,36.90590853,-1.32012441,36.90594682,-1.320100793,36.90598511,-1.320077175,36.90602339,-1.320053557,36.90606168,-1.320029939,36.90609996,-1.320006321,36.90613825,-1.319982704,36.90617653,-1.319959086,36.90621482,-1.319935468,36.90625311,-1.31991185,36.90629139
Feature,40_2,airport north road-primary,LineString,36.90632968,-1.319864615,36.90636796,-1.319840997,36.90640625,-1.319817379,36.90644453,-1.319793761,36.90648282,-1.319770143,36.90652111,-1.319746526,36.90655939,-1.319722908,36.90659768,-1.31969929,36.90663596,-1.319675672,36.90667425,-1.319652054,36.90671259,-1.319628523,36.90675164,-1.319606204,36.9067907,-1.319583886,36.90682976,-1.319561567,36.90686882,-1.319539249,36.90690787,-1.31951693,36.90694693,-1.319494612,36.90698599,-1.319472293,36.90702504,-1.319449975,36.9070641,-1.319427656,36.90710316,-1.319405337,36.90714222
Feature,40_3,airport north road-primary,LineString,36.90718127,-1.3193607,36.90722033,-1.319338382,36.90725939,-1.319316063,36.90729845,-1.319293745,36.9073375,-1.319271426,36.90737746,-1.319250764,36.90741748,-1.319230215,36.90745749,-1.319209666,36.90749751,-1.319189117,36.90753753,-1.319168568,36.90757754,-1.319148019,36.90761756,-1.31912747,36.90765758,-1.319106921,36.90769759,-1.319086372,36.90773853,-1.319067774,36.90777987,-1.319050054,36.90782122,-1.319032334,36.90786257,-1.319014614,36.90790392,-1.318996893,36.90794526,-1.318979173,36.90798661,-1.318961453,36.90802796
Feature,40_4,airport north road-primary,LineString,36.90806946,-1.318926396,36.9081115,-1.318910382,36.90815353,-1.318894368,36.90819557,-1.318878354,36.90823761,-1.31886234,36.90827943,-1.318845808,36.90832054,-1.318827538,36.90836165,-1.318809268,36.90840275,-1.318790998,36.90844386,-1.318772728,36.90848587,-1.318756676,36.90852804,-1.318741013,36.90857021,-1.31872535,36.90861238,-1.318709687,36.90865455,-1.318694024,36.90869672,-1.318678361,36.90873889,-1.318662698,36.90878106,-1.318647035,36.90882373,-1.31863288,36.90886682,-1.318619954,36.90890991,-1.318607027,36.908953
Feature,146_1,airport north road-primary,LineString,36.91683232,-1.318414868,36.91687545,-1.318402089,36.91691858,-1.318389309,36.91696152,-1.318375934,36.91700394,-1.318360963,36.91704636,-1.318345991,36.91708878,-1.318331019,36.9171312,-1.318316047,36.91717362,-1.318301076,36.91721604,-1.318286104,36.91725846,-1.318271132,36.91730088,-1.318256161,36.9173433,-1.318241189,36.91738572,-1.318226217,36.91742814,-1.318211245,36.91747027,-1.318195536,36.91751152,-1.318177599,36.91755278,-1.318159663,36.91759403,-1.318141726,36.91763528,-1.31812379,36.91767654,-1.318105854,36.91771779
Feature,146_2,airport north road-primary,LineString,36.91775904,-1.318069981,36.9178003,-1.318052044,36.91784155,-1.318034108,36.91788281,-1.318016171,36.91792394,-1.317997988,36.91796401,-1.317977544,36.91800408,-1.3179571,36.91804415,-1.317936656,36.91808422,-1.317916212,36.9181243,-1.317895768,36.91816437,-1.317875324,36.91820444,-1.31785488,36.91824451,-1.317834436,36.91828458,-1.317813991,36.91832465,-1.317793547,36.91836472,-1.317773103,36.91840479,-1.317752659,36.91844411,-1.317730815,36.91848331,-1.31770876,36.91852252,-1.317686706,36.91856173,-1.317664652,36.91859972
Feature,146_3,airport north road-primary,LineString,36.9186374,-1.317616015,36.91867507,-1.317591429,36.91871274,-1.317566844,36.91875041,-1.317542258,36.91878808,-1.317517673,36.91882575,-1.317493087,36.91886343,-1.317468501,36.9189011,-1.317443916,36.91893877,-1.31741933,36.91897644,-1.317394745,36.91901411,-1.317370159,36.91905178,-1.317345573,36.91908945,-1.317320988,36.91912713,-1.317296402,36.9191648,-1.317271816,36.91920247,-1.317247231,36.91924014,-1.317222645,36.91927781,-1.31719806,36.91931548,-1.317173474,36.91935315,-1.317148888,36.91939083,-1.317124303,36.9194285
Feature,146_4,airport north road-primary,LineString,36.91946617,-1.317075132,36.91950384,-1.317050546,36.91954074,-1.317024849,36.91957707,-1.316998318,36.9196134,-1.316971787,36.91964973,-1.316945255,36.91968605,-1.316918724,36.91972238,-1.316892193,36.91975871,-1.316865661,36.91979504,-1.31683913,36.91983136,-1.316812599,36.91986769,-1.316786067,36.91990402,-1.316759536,36.91994035,-1.316733005,36.91997667,-1.316706474,36.920013,-1.316679942,36.92004933,-1.316653411,36.92008566,-1.31662688,36.92012198,-1.316600348,36.92015831,-1.316573817,36.92019464,-1.316547286,36.92023097
Feature,72_3,airport south road-primary,LineString,36.89977,-1.3238,36.89977497,-1.3238,36.89979768,-1.323835353,36.8998176,-1.323875207,36.89983753,-1.323915061,36.89985746,-1.323954915,36.89987738,-1.323994769,36.89990418,-1.324030227,36.89993067,-1.324066005,36.89995539,-1.32410308,36.89998225,-1.324138607,36.90000961,-1.324173779,36.90003726,-1.324208711,36.90006578,-1.324242942,36.90009431,-1.324277172,36.90012284,-1.324311402,36.90014655,-1.32434897,36.90016866,-1.324387657,36.90019077,-1.324426345,36.90021288,-1.324465032,36.90023498,-1.324503719,36.90025709
Feature,74_1,argwings kodhek road-tertiary,LineString,36.78538733,-1.292284293,36.78543218,-1.292280896,36.78547703,-1.292277498,36.78552188,-1.2922741,36.78556672,-1.292270703,36.78561157,-1.292267305,36.78565642,-1.292263907,36.78570127,-1.29226051,36.78574612,-1.292257112,36.78579097,-1.292253715,36.78583582,-1.292250317,36.78588076,-1.292248739,36.78592572,-1.292247349,36.78597067,-1.292245959,36.78601563,-1.292244568,36.78606058,-1.292243178,36.78610554,-1.292241787,36.7861505,-1.292240397,36.78619545,-1.292239007,36.78624041,-1.292237616,36.78628536,-1.292236226,36.78633032
Feature,74_2,argwings kodhek road-tertiary,LineString,36.78637527,-1.292233445,36.78642023,-1.292232055,36.78646519,-1.292230664,36.78651014,-1.292229274,36.7865551,-1.292227884,36.78660005,-1.292226493,36.78664501,-1.292225103,36.78668996,-1.292223712,36.78673492,-1.292222322,36.78677988,-1.292220932,36.78682481,-1.292219013,36.78686968,-1.292216021,36.78691456,-1.292213029,36.78695944,-1.292210037,36.78700435,-1.292212334,36.78704927,-1.292214698,36.78709418,-1.292217062,36.7871391,-1.292219426,36.78718406,-1.29222,36.78722894,-1.292221354,36.7872734,-1.292228092,36.78731787
Feature,74_3,argwings kodhek road-tertiary,LineString,36.78736234,-1.292241567,36.78740681,-1.292248305,36.78745128,-1.292255043,36.78749575,-1.292261781,36.78754022,-1.292268519,36.78758408,-1.292278332,36.78762778,-1.292289012,36.78767147,-1.292299692,36.78771516,-1.292310372,36.78775885,-1.292321052,36.78780254,-1.292331732,36.78784623,-1.292342412,36.78788992,-1.292353092,36.78793361,-1.292363772,36.7879773,-1.292374452,36.78802108,-1.292384772,36.78806494,-1.292394704,36.78810881,-1.292404636,36.78815268,-1.292414569,36.78819654,-1.292424501,36.78824041,-1.292434433,36.78828428
Feature,74_4,argwings kodhek road-tertiary,LineString,36.78832815,-1.292454297,36.78837201,-1.292464229,36.78841588,-1.292474161,36.78845975,-1.292484093,36.78850361,-1.292494026,36.7885475,-1.292503888,36.7885914,-1.292513645,36.78863531,-1.292523402,36.78867921,-1.292533159,36.78872312,-1.292542916,36.78876703,-1.292552672,36.78881093,-1.292562429,36.78885484,-1.292572186,36.78889874,-1.292581943,36.78894265,-1.2925917,36.78898656,-1.292601457,36.78903046,-1.292611214,36.78907437,-1.292620971,36.78911828,-1.292630728,36.78916218,-1.292640475,36.78920613,-1.292650029,36.78925008
Feature,151_1,biashara street-residential,LineString,36.821541,-1.2817776,36.82152473,-1.281785406,36.8214844,-1.281804751,36.82144408,-1.281824096,36.82140375,-1.28184344,36.82136343,-1.281862785,36.8213231,-1.28188213,36.82128278,-1.281901475,36.82124245,-1.28192082,36.82120213,-1.281940165,36.8211618,-1.28195951,36.82112148,-1.281978855,36.82108115,-1.2819982,36.82104083,-1.282017545,36.8210005,-1.28203689,36.82096018,-1.282056235,36.82091985,-1.282075579,36.82087953,-1.282094924,36.8208392,-1.282114269,36.82079888,-1.282133614,36.82075855,-1.282152959,36.82071823
Feature,36_1,bondo street-tertiary,LineString,36.8454573,-1.2928221,36.84546604,-1.292779249,36.84547503,-1.292735214,36.84548401,-1.292691179,36.84549299,-1.292647143,36.84550198,-1.292603108,36.84551096,-1.292559073,36.84551995,-1.292515038,36.84552893,-1.292471003,36.84553791,-1.292426968,36.8455469,-1.292382932,36.84555588,-1.292338897,36.84556487,-1.292294862,36.84557385,-1.292250827,36.84558283,-1.292206792,36.84559182,-1.292162757,36.8456008,-1.292118722,36.84560978,-1.292074686,36.84561877,-1.292030651,36.84562775,-1.291986616,36.84563674,-1.291942581,36.84564572
Feature,153_1,cabral street-tertiary,LineString,36.8244794,-1.2831246,36.82445373,-1.283157588,36.82442695,-1.283191997,36.82440017,-1.283226406,36.82437338,-1.283260816,36.8243466,-1.283295225,36.82431982,-1.283329634,36.82429304,-1.283364043,36.82426626,-1.283398452,36.82423948,-1.283432862,36.82421271,-1.283467273,36.82418593,-1.283501686,36.82415916,-1.283536099,36.82413238,-1.283570512,36.82410561,-1.283604926,36.82407883,-1.283639339,36.82405206,-1.283673752,36.82402528,-1.283708166,36.82399851,-1.283742579,36.8239974,-1.283744,,,
Feature,35_1,cathedral road-residential,LineString,36.8166311,-1.293148,36.81658664,-1.293148039,36.81654212,-1.293148079,36.8164976,-1.293148118,36.81645309,-1.293148158,36.81640857,-1.293148197,36.81638485,-1.293112323,36.81636273,-1.293073694,36.8163406,-1.293035065,36.81631848,-1.292996436,36.81629635,-1.292957807,36.81627423,-1.292919178,36.81625211,-1.292880548,36.81622998,-1.292841919,36.81620786,-1.29280329,36.81618573,-1.292764661,36.81616361,-1.292726032,36.81614148,-1.292687403,36.81611936,-1.292648774,36.81609723,-1.292610145,36.81607511,-1.292571516,36.81605299
Feature,87_1,chiromo lane-tertiary,LineString,36.8079313,-1.2710919,36.80793901,-1.271084651,36.80797168,-1.271053935,36.80800436,-1.271023218,36.80803703,-1.270992502,36.8080697,-1.270961786,36.80810237,-1.270931069,36.80813505,-1.270900353,36.80816772,-1.270869637,36.80820039,-1.27083892,36.80823306,-1.270808204,36.80826574,-1.270777488,36.80829841,-1.270746771,36.80833108,-1.270716055,36.80836376,-1.270685339,36.80839643,-1.270654622,36.8084291,-1.270623906,36.80846177,-1.27059319,36.80849445,-1.270562473,36.80852712,-1.270531757,36.80855979,-1.270501041,36.80859246
Feature,152_2,city hall way-secondary,LineString,36.82546,-1.28534,36.82545189,-1.285343703,36.82541101,-1.285362366,36.82537013,-1.285381028,36.82532925,-1.28539969,36.82528837,-1.285418353,36.82524749,-1.285437015,36.82520661,-1.285455678,36.82516573,-1.28547434,36.82512485,-1.285493002,36.82508397,-1.285511665,36.82504309,-1.285530327,36.82500221,-1.285548989,36.82496278,-1.285570533,36.82492344,-1.285592241,36.82488409,-1.28561395,36.82484474,-1.285635658,36.8248054,-1.285657367,36.82476605,-1.285679075,36.8247267,-1.285700784,36.82468736,-1.285722492,36.82464801
Feature,68_1,city hall way-secondary,LineString,36.82027756,-1.287989398,36.8202375,-1.288009763,36.82019744,-1.288030128,36.82015738,-1.288050493,36.82011732,-1.288070858,36.82007727,-1.288091223,36.82006,-1.288125569,36.82003753,-1.288163704,36.82000891,-1.288197396,36.81996892,-1.288217025,36.81992447,-1.28822,36.81988074,-1.288210185,36.81984222,-1.288192333,36.81979918,-1.288205246,36.81975614,-1.288218159,36.81971379,-1.288233168,36.81967156,-1.288248525,36.81962864,-1.28826,36.81958648,-1.288271761,36.81954628,-1.288291858,36.81950609,-1.288311954,36.8194659
Feature,19_1,city stadium road-residential,LineString,36.8434059,-1.2925249,36.84339965,-1.292555589,36.8433907,-1.292599554,36.84338174,-1.29264352,36.84337279,-1.292687486,36.84336384,-1.292731451,36.84335488,-1.292775417,36.84334593,-1.292819382,36.84333698,-1.292863348,36.84332802,-1.292907314,36.84331907,-1.292951279,36.84331012,-1.292995245,36.84330116,-1.29303921,36.84329221,-1.293083176,36.84328326,-1.293127142,36.8432743,-1.293171107,36.84326535,-1.293215073,36.84325639,-1.293259039,36.84324744,-1.293303004,36.84323849,-1.29334697,36.84322953,-1.293390935,36.84322058
Feature,100_1,dagoretti road-secondary,LineString,36.70702,-1.32193,36.70700475,-1.321912213,36.70697547,-1.32187805,36.7069466,-1.321843549,36.70691817,-1.321808667,36.70688975,-1.321773785,36.70686133,-1.321738904,36.70683291,-1.321704022,36.70680448,-1.321669141,36.70677606,-1.321634259,36.70674764,-1.321599378,36.70671853,-1.321565071,36.70668917,-1.321530975,36.70665981,-1.321496879,36.70663045,-1.321462783,36.70660109,-1.321428688,36.70657173,-1.321394592,36.70654237,-1.321360496,36.70651301,-1.321326401,36.70648365,-1.321292305,36.70645429,-1.321258209,36.70642521
Feature,56_1,doonholm road-tertiary,LineString,36.88938793,-1.299867388,36.88935224,-1.299894432,36.88931656,-1.299921477,36.88928088,-1.299948521,36.8892452,-1.299975565,36.88920952,-1.30000261,36.88917384,-1.300029654,36.88913816,-1.300056698,36.88910248,-1.300083743,36.8890668,-1.300110787,36.88903112,-1.300137831,36.88899544,-1.300164876,36.88895909,-1.300191012,36.88892263,-1.300216985,36.88888616,-1.300242957,36.88884969,-1.300268935,36.88881323,-1.300294919,36.88877677,-1.300320902,36.88874031,-1.300346886,36.88870385,-1.30037287,36.88866739,-1.300398854,36.88863093
Feature,56_2,doonholm road-tertiary,LineString,36.88859447,-1.300450821,36.88855801,-1.300476805,36.88852155,-1.300502789,36.88848513,-1.300528821,36.88844878,-1.300554965,36.88841244,-1.30058111,36.88837609,-1.300607254,36.88833975,-1.300633399,36.8883034,-1.300659543,36.88826706,-1.300685688,36.88823139,-1.30071267,36.88819795,-1.300742443,36.88816451,-1.300772217,36.88813107,-1.30080199,36.88809764,-1.300831763,36.8880642,-1.300861534,36.88803075,-1.3008913,36.88799731,-1.300921065,36.88796387,-1.300950831,36.88793042,-1.300980596,36.88789698,-1.301010362,36.88787061
